r,theta,z,Energy,Detection Efficiency
72.0,0.0,-83.0,1200,0.0024033333333333
72.0,0.0,-83.0,1400,0.0021553529411764
72.0,0.0,-83.0,1600,0.0019430588235294
72.0,0.0,-83.0,1800,0.0017443888888888
72.0,0.0,-83.0,2000,0.0016391764705882
72.0,0.0,-83.0,2200,0.0014242352941176
72.0,0.0,-83.0,2400,0.001362
102.0,0.0,67.0,20,0.0007462777777777
102.0,0.0,67.0,30,0.0041496666666666
102.0,0.0,67.0,50,0.016336
102.0,0.0,67.0,80,0.024855625
102.0,0.0,67.0,100,0.02601075
102.0,0.0,67.0,200,0.0213084705882352
102.0,0.0,67.0,300,0.0158570555555555
102.0,0.0,67.0,500,0.0102305882352941
102.0,0.0,67.0,800,0.0070106470588235
102.0,0.0,67.0,1000,0.005953125
102.0,0.0,67.0,1200,0.0051573888888888
102.0,0.0,67.0,1400,0.0045968823529411
102.0,0.0,67.0,1600,0.0040371176470588
102.0,0.0,67.0,1800,0.0037694444444444
102.0,0.0,67.0,2000,0.0034999411764705
102.0,0.0,67.0,2200,0.0031444117647058
102.0,0.0,67.0,2400,0.0027988888888888
102.0,0.0,37.0,20,0.0008262222222222
102.0,0.0,37.0,30,0.0044527777777777
102.0,0.0,37.0,50,0.0174969411764705
102.0,0.0,37.0,80,0.026684
102.0,0.0,37.0,100,0.02806425
102.0,0.0,37.0,200,0.0226107058823529
102.0,0.0,37.0,300,0.0166999444444444
102.0,0.0,37.0,500,0.0109017647058823
102.0,0.0,37.0,800,0.0075055882352941
102.0,0.0,37.0,1000,0.006203625
102.0,0.0,37.0,1200,0.0054317777777777
102.0,0.0,37.0,1400,0.0048416470588235
102.0,0.0,37.0,1600,0.0043137058823529
102.0,0.0,37.0,1800,0.0038831666666666
102.0,0.0,37.0,2000,0.0037859411764705
102.0,0.0,37.0,2200,0.0032962352941176
102.0,0.0,37.0,2400,0.0030178888888888
102.0,0.0,7.0,20,0.0007496666666666
102.0,0.0,7.0,30,0.0036661111111111
102.0,0.0,7.0,50,0.0140721176470588
102.0,0.0,7.0,80,0.02173475
102.0,0.0,7.0,100,0.022923625
102.0,0.0,7.0,200,0.0190508235294117
102.0,0.0,7.0,300,0.0140081111111111
102.0,0.0,7.0,500,0.0092218823529411
102.0,0.0,7.0,800,0.0062384117647058
102.0,0.0,7.0,1000,0.005476375
102.0,0.0,7.0,1200,0.0047334444444444
102.0,0.0,7.0,1400,0.0042954117647058
102.0,0.0,7.0,1600,0.0037275294117647
102.0,0.0,7.0,1800,0.0034771666666666
102.0,0.0,7.0,2000,0.0031055882352941
102.0,0.0,7.0,2200,0.0029258823529411
102.0,0.0,7.0,2400,0.00265
102.0,0.0,-23.0,20,0.0006447222222222
102.0,0.0,-23.0,30,0.0028051111111111
102.0,0.0,-23.0,50,0.0115830588235294
102.0,0.0,-23.0,80,0.01755725
102.0,0.0,-23.0,100,0.0186049411764705
102.0,0.0,-23.0,200,0.0149005294117647
102.0,0.0,-23.0,300,0.0110634444444444
102.0,0.0,-23.0,500,0.0071977647058823
102.0,0.0,-23.0,800,0.0048724117647058
